最后的精灵:迫不及待想与最爱的人分享的故事,,,https://book.douban.com/subject/3823070/,,,希瓦娜‧达玛利 / 景翔 / 河南文艺出版社 / 2009-7 / 26.80元,,,8.3,,,1526
看不见的城市,,,https://book.douban.com/subject/1863930/,,,[意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元,,,8.8,,,27688
欢迎来到猴子馆,,,https://book.douban.com/subject/27068817/,,,[美] 库尔特·冯内古特 / 王宇光 / 中信出版集团/楚尘文化 / 2017-7-20 / 48.00元,,,8.7,,,633
黎明破晓的世界:中世纪思潮与文艺复兴,,,https://book.douban.com/subject/27026379/,,,[美] 威廉·曼彻斯特 / 张晓璐、罗志强 / 悦读名品 | 化学工业出版社 / 2017-5 / 98.00元,,,8.1,,,657
动物农场,,,https://book.douban.com/subject/2035179/,,,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,,,9.2,,,37030
毒木圣经,,,https://book.douban.com/subject/26630480/,,,[美] 芭芭拉·金索沃 / 张竝 / 新经典文化/南海出版公司 / 2017-3 / 59.00元,,,8.7,,,1869
方向,,,https://book.douban.com/subject/26975609/,,,[法] 马克-安托万·马修 / 后浪漫（编译） / 后浪丨北京联合出版公司 / 2017-4 / 99.80元,,,8.8,,,1572
一个叫欧维的男人决定去死,,,https://book.douban.com/subject/26672693/,,,[瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元,,,9.1,,,13376
被仰望与被遗忘的,,,https://book.douban.com/subject/26818878/,,,[美] 盖伊·特立斯 / 范晓彬、姜伊敏 / 上海人民出版社 / 2017-3 / 65.00元,,,8.2,,,1658
吃鲷鱼让我打嗝,,,https://book.douban.com/subject/26893260/,,,[美] 杰西·艾森伯格 / 吴文忠 / 人民文学出版社 / 2017-4 / 49.00元,,,7.9,,,2505
我脑袋里的怪东西,,,https://book.douban.com/subject/26701959/,,,[土耳其] 奥尔罕·帕慕克 / 陈竹冰 / 上海人民出版社 / 2016-2 / 49.00元,,,8.6,,,2906
万物有灵且美,,,https://book.douban.com/subject/4187411/,,,[英] 吉米·哈利 / 种衍伦 / 中国城市出版社 / 2010-1 / 28.80,,,8.8,,,15871
肖申克的救赎,,,https://book.douban.com/subject/1829226/,,,[美] 斯蒂芬·金 / 施寄青、赵永芬、齐若兰 / 人民文学出版社 / 2006-7 / 29.90元,,,9.1,,,42518
不负责任的自我:论笑与小说,,,https://book.douban.com/subject/27046072/,,,[英] 詹姆斯·伍德 / 李小均 / 河南大学出版社 / 2017-6-1 / 45.00,,,9.1,,,156
树上的男爵,,,https://book.douban.com/subject/6789605/,,,(意)卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 30.00元,,,9.1,,,12496
牧羊少年奇幻之旅,,,https://book.douban.com/subject/3608208/,,,[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,,,8.6,,,62397
灿烂千阳,,,https://book.douban.com/subject/2143732/,,,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,,,8.8,,,58553
岛上书店,,,https://book.douban.com/subject/26340138/,,,[美] 加布瑞埃拉·泽文 / 孙仲旭、李玉瑶 / 江苏凤凰文艺出版社 / 2015-5-1 / CNY 35.00,,,7.6,,,86724
无声告白,,,https://book.douban.com/subject/26382433/,,,[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元,,,8.2,,,56496
